iter	RMSE
0	740.3882881
1	725.8320171
2	711.5147373
3	696.2050016
4	684.2417469
5	671.8666137
6	659.4518197
7	646.8018413
8	635.0226553
9	623.6531786
10	613.1887276
11	602.4142696
12	593.1054977
13	582.6685605
14	573.5813968
15	565.2942345
16	556.6223614
17	548.6487543
18	540.1917716
19	532.9875166
20	525.830279
21	518.4090164
22	510.3846718
23	504.096117
24	497.9664996
25	491.6667837
26	485.7659186
27	480.9871143
28	476.218233
29	470.6969726
30	465.4779763
31	460.1750296
32	455.0923258
33	449.7194896
34	445.1158997
35	440.5105551
36	435.9419622
37	431.8393413
38	427.7184885
39	424.233603
40	420.3312124
41	416.9221853
42	412.5909407
43	409.6079457
44	405.6937624
45	402.4485681
46	400.0913691
47	397.2094687
48	394.5495321
49	391.4875637
50	388.5758684
51	385.8128838
52	383.1003467
53	380.6015229
54	377.8787849
55	374.72502
56	372.4321963
57	369.8835554
58	367.0306466
59	364.8302907
60	362.3816051
61	359.9359022
62	357.2077395
63	355.0221482
64	353.0965366
65	350.8206908
66	349.0761026
67	347.1131093
68	345.1252028
69	343.6831799
70	342.6278299
71	340.8754646
72	339.3926131
73	337.5694923
74	335.8953372
75	334.2214559
76	332.1386758
77	330.990816
78	328.7855821
79	326.9229238
80	325.3259417
81	324.0306861
82	322.6679018
83	321.2007315
84	320.0551516
85	318.5951331
86	317.2976
87	316.1933877
88	314.7852248
89	313.4906192
90	311.771748
91	310.5959823
92	309.2204333
93	307.6721531
94	306.5367065
95	305.3713854
96	304.2905617
97	303.1434825
98	301.8484716
99	300.3732335
100	298.8518148
101	297.8699462
102	297.0391601
103	295.7635211
104	295.1621148
105	294.1693544
106	293.3806463
107	292.4028825
108	291.6769565
109	290.6990648
110	289.8779791
111	288.9998449
112	288.3822581
113	287.4134352
114	286.4914613
115	285.4985571
116	284.6012083
117	283.8478948
118	283.3190507
119	282.5885698
120	282.0771481
121	281.3684333
122	280.4471879
123	279.7034971
124	279.1183624
125	278.5863471
126	277.5809201
127	276.8311395
128	275.7768283
129	275.4030906
130	274.9990821
131	274.4902109
132	273.8069602
133	273.3596334
134	272.8084567
135	272.2304389
136	271.7855407
137	271.5237227
138	271.0816018
139	270.4582199
140	269.9403598
141	269.352868
142	268.4395786
143	267.8293444
144	267.0893694
145	266.7451301
146	266.1465389
147	265.6578108
148	265.2557749
149	264.2109321
150	263.8205582
151	263.1684745
152	262.7772005
153	262.4183705
154	261.787162
155	261.2354912
156	260.8132832
157	260.2034794
158	259.3830255
159	258.8407818
160	258.3822115
161	257.842002
162	257.4992059
163	257.0650507
164	255.987981
165	255.6604042
166	254.9663009
167	254.1010906
168	253.6785577
169	253.1244153
170	252.5519884
171	252.0177193
172	251.5184689
173	250.9254405
174	250.3160346
175	249.8652037
176	249.5442868
177	248.8475838
178	248.3729251
179	247.9193503
180	247.565693
181	247.0706701
182	246.2723629
183	245.8780291
184	245.2922048
185	244.7605207
186	244.1004269
187	243.5546683
188	243.0715241
189	242.7774011
190	242.4572772
191	241.6197847
192	240.9352717
193	240.6972309
194	240.261262
195	239.7951296
196	239.3952241
197	238.9323139
198	238.4158286
199	237.889816
200	236.9520127
201	236.5530156
202	235.8738348
203	235.3617538
204	234.8561835
205	234.5148405
206	234.0546464
207	233.7707801
208	232.8425724
209	232.4475246
210	232.0653065
211	231.4273833
212	231.1338237
213	230.8983303
214	230.4555517
215	230.1699456
216	229.6399927
217	229.2410946
218	228.919585
219	228.6126189
220	227.8085976
221	227.3728445
222	226.8242721
223	226.0937791
224	225.2763669
225	224.8902669
226	224.4401113
227	223.9844657
228	223.5765123
229	223.3098639
230	222.9765719
231	222.3341003
232	221.9786356
233	221.6087277
234	220.9144426
235	220.7162164
236	220.2629228
237	219.7831134
238	219.4275452
239	219.0068704
240	218.5386227
241	218.1393671
242	217.6420533
243	217.2851667
244	216.6707869
245	216.2945229
246	215.8328902
247	215.3445108
248	215.0647015
249	214.5552548
250	214.4105844
251	214.0957944
252	213.5596597
253	213.2231966
254	213.0554462
255	212.8658823
256	212.4009688
257	212.241551
258	211.8868319
259	211.2673315
260	211.1521471
261	210.6882156
262	209.970641
263	209.6442576
264	209.4215366
265	208.8726883
266	208.6433255
267	208.2631483
268	207.678771
269	207.4995808
270	207.3890197
271	207.0232872
272	206.749835
273	206.5012246
