iter	Passed	Remaining
0	1	1509
1	2	1461
2	4	1376
3	5	1348
4	6	1321
5	7	1299
6	9	1282
7	10	1305
8	11	1294
9	13	1289
10	14	1280
11	15	1272
12	16	1263
13	17	1253
14	19	1262
15	20	1257
16	21	1259
17	22	1252
18	24	1245
19	25	1239
20	26	1251
21	28	1255
22	29	1252
23	30	1248
24	31	1243
25	33	1243
26	34	1239
27	35	1234
28	36	1214
29	37	1211
30	38	1207
31	39	1208
32	41	1213
33	42	1212
34	43	1208
35	45	1207
36	46	1207
37	47	1204
38	48	1202
39	49	1199
40	51	1196
41	52	1195
42	53	1192
43	54	1190
44	55	1187
45	57	1186
46	58	1187
47	59	1189
48	61	1188
49	62	1185
50	63	1183
51	64	1183
52	66	1181
53	67	1178
54	68	1176
55	69	1175
56	71	1176
57	72	1174
58	73	1171
59	74	1169
60	75	1168
61	77	1168
62	78	1170
63	79	1169
64	81	1168
65	82	1166
66	83	1165
67	84	1164
68	86	1163
69	87	1163
70	88	1161
71	89	1159
72	91	1160
73	92	1158
74	93	1157
75	95	1155
76	96	1154
77	97	1151
78	98	1152
79	100	1152
80	101	1155
81	103	1158
82	104	1157
83	106	1157
84	107	1157
85	108	1157
86	110	1160
87	112	1162
88	130	1336
89	131	1333
90	133	1329
91	134	1325
92	135	1323
93	137	1321
94	138	1318
95	139	1316
96	141	1314
97	142	1312
98	143	1308
99	145	1305
100	146	1301
101	147	1297
102	148	1294
103	149	1292
104	151	1289
105	152	1286
106	153	1284
107	155	1280
108	156	1277
109	157	1275
110	158	1272
111	160	1268
112	161	1265
113	162	1262
114	163	1259
115	164	1257
116	166	1254
117	167	1251
118	168	1248
119	169	1245
120	171	1242
121	172	1240
122	173	1237
123	174	1234
124	176	1233
125	177	1230
126	178	1228
127	179	1225
128	181	1222
129	182	1220
130	183	1217
131	184	1215
132	186	1214
133	187	1211
134	188	1208
135	189	1205
136	190	1202
137	192	1199
138	193	1197
139	194	1195
140	195	1193
141	197	1190
142	198	1188
143	199	1186
144	201	1186
145	202	1185
146	204	1184
147	205	1183
148	206	1181
149	208	1179
150	209	1177
151	210	1175
152	212	1174
153	213	1171
154	214	1170
155	215	1168
156	217	1166
157	218	1164
158	219	1162
159	220	1159
160	222	1158
161	223	1156
162	224	1154
163	226	1152
164	227	1150
165	228	1148
166	230	1147
167	231	1146
168	232	1144
169	234	1143
170	235	1141
171	236	1139
172	237	1137
173	239	1135
174	240	1133
175	241	1132
176	243	1130
177	244	1129
178	245	1128
179	247	1126
180	248	1124
181	249	1122
182	250	1120
183	252	1118
184	253	1117
185	254	1115
186	256	1113
187	257	1111
188	258	1110
189	259	1108
190	261	1106
191	262	1104
192	263	1102
193	264	1100
194	266	1098
195	267	1096
196	268	1094
197	269	1092
198	270	1090
199	272	1088
200	273	1086
201	274	1085
202	275	1083
203	277	1081
204	278	1079
205	279	1077
206	280	1075
207	282	1074
208	283	1072
209	284	1070
210	285	1068
211	287	1066
212	288	1065
213	289	1064
214	290	1062
215	292	1061
216	293	1060
217	295	1058
218	296	1057
219	297	1055
220	299	1055
221	300	1053
222	301	1051
223	303	1050
224	304	1048
225	305	1046
226	306	1045
227	308	1043
228	309	1041
229	310	1039
230	312	1038
231	313	1037
232	314	1035
